Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,549770
2,false,true,1000001,575272
2,true,false,1000001,549853
2,false,false,1000001,575328
4,true,true,1000001,316717
4,false,true,1000001,443780
4,true,false,1000001,317031
4,false,false,1000001,443960
8,true,true,1000001,248779
8,false,true,1000001,435353
8,true,false,1000001,265626
8,false,false,1000001,435564
16,true,true,1000001,247515
16,false,true,1000001,427240
16,true,false,1000001,256397
16,false,false,1000001,427453
32,true,true,1000001,247359
32,false,true,1000001,427233
32,true,false,1000001,256311
32,false,false,1000001,427449
64,true,true,1000001,247263
64,false,true,1000001,427233
64,true,false,1000001,256250
64,false,false,1000001,427449
