Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,777104
4,false,true,1000001,795047
4,true,false,1000001,778184
4,false,false,1000001,795071
8,true,true,1000001,444994
8,false,true,1000001,512807
8,true,false,1000001,448310
8,false,false,1000001,513798
16,true,true,1000001,277561
16,false,true,1000001,455160
16,true,false,1000001,291969
16,false,false,1000001,457705
32,true,true,1000001,246806
32,false,true,1000001,451420
32,true,false,1000001,261367
32,false,false,1000001,455849
64,true,true,1000001,243292
64,false,true,1000001,451420
64,true,false,1000001,258558
64,false,false,1000001,455849
128,true,true,1000001,243221
128,false,true,1000001,451420
128,true,false,1000001,258497
128,false,false,1000001,455849
256,true,true,1000001,243221
256,false,true,1000001,451420
256,true,false,1000001,258496
256,false,false,1000001,455849
512,true,true,1000001,243221
512,false,true,1000001,451420
512,true,false,1000001,258496
512,false,false,1000001,455849
1024,true,true,1000001,243221
1024,false,true,1000001,451420
1024,true,false,1000001,258496
1024,false,false,1000001,455849
