Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,549444
2,false,true,1000001,574193
2,true,false,1000001,549473
2,false,false,1000001,574218
4,true,true,1000001,299970
4,false,true,1000001,400781
4,true,false,1000001,300078
4,false,false,1000001,408916
8,true,true,1000001,183369
8,false,true,1000001,359824
8,true,false,1000001,199717
8,false,false,1000001,367969
16,true,true,1000001,157569
16,false,true,1000001,351673
16,true,false,1000001,174044
16,false,false,1000001,351748
32,true,true,1000001,157136
32,false,true,1000001,351670
32,true,false,1000001,173633
32,false,false,1000001,351744
64,true,true,1000001,156971
64,false,true,1000001,351670
64,true,false,1000001,173468
64,false,false,1000001,351744
