Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,592193
2,false,true,1000001,853373
2,true,false,1000001,683398
2,false,false,1000001,853472
4,true,true,1000001,395796
4,false,true,1000001,834784
4,true,false,1000001,570227
4,false,false,1000001,835159
8,true,true,1000001,384060
8,false,true,1000001,833261
8,true,false,1000001,561063
8,false,false,1000001,833750
16,true,true,1000001,382605
16,false,true,1000001,832270
16,true,false,1000001,558909
16,false,false,1000001,832774
32,true,true,1000001,382376
32,false,true,1000001,832263
32,true,false,1000001,558768
32,false,false,1000001,832738
64,true,true,1000001,382278
64,false,true,1000001,832263
64,true,false,1000001,558707
64,false,false,1000001,832738
