Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,774754
1,false,true,1000001,783056
1,true,false,1000001,774763
1,false,false,1000001,783063
2,true,true,1000001,432499
2,false,true,1000001,492113
2,true,false,1000001,432587
2,false,false,1000001,492142
4,true,true,1000001,250075
4,false,true,1000001,368209
4,true,false,1000001,250213
4,false,false,1000001,368289
8,true,true,1000001,174887
8,false,true,1000001,359818
8,true,false,1000001,199395
8,false,false,1000001,367976
16,true,true,1000001,157495
16,false,true,1000001,351682
16,true,false,1000001,182048
16,false,false,1000001,351755
32,true,true,1000001,157186
32,false,true,1000001,351658
32,true,false,1000001,173687
32,false,false,1000001,351732
64,true,true,1000001,157102
64,false,true,1000001,351658
64,true,false,1000001,173625
64,false,false,1000001,351732
