Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,770519
1,false,true,1000001,795810
1,true,false,1000001,774610
1,false,false,1000001,800354
2,true,true,1000001,417289
2,false,true,1000001,518981
2,true,false,1000001,450442
2,false,false,1000001,533529
4,true,true,1000001,242127
4,false,true,1000001,407395
4,true,false,1000001,302558
4,false,false,1000001,433836
8,true,true,1000001,163349
8,false,true,1000001,382805
8,true,false,1000001,254991
8,false,false,1000001,413400
16,true,true,1000001,136898
16,false,true,1000001,379048
16,true,false,1000001,240028
16,false,false,1000001,407749
32,true,true,1000001,131068
32,false,true,1000001,378104
32,true,false,1000001,238264
32,false,false,1000001,407715
64,true,true,1000001,130519
64,false,true,1000001,378104
64,true,false,1000001,238198
64,false,false,1000001,407715
