Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,781014
1,false,true,1000001,798037
1,true,false,1000001,783281
1,false,false,1000001,798310
2,true,true,1000001,445012
2,false,true,1000001,531021
2,true,false,1000001,456216
2,false,false,1000001,531961
4,true,true,1000001,275531
4,false,true,1000001,422238
4,true,false,1000001,288856
4,false,false,1000001,422995
8,true,true,1000001,207971
8,false,true,1000001,413879
8,true,false,1000001,243373
8,false,false,1000001,421841
16,true,true,1000001,191438
16,false,true,1000001,406137
16,true,false,1000001,227472
16,false,false,1000001,407302
32,true,true,1000001,190733
32,false,true,1000001,406078
32,true,false,1000001,220293
32,false,false,1000001,407186
64,true,true,1000001,190599
64,false,true,1000001,406078
64,true,false,1000001,220207
64,false,false,1000001,407186
