Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,781246
4,false,true,1000001,813835
4,true,false,1000001,783529
4,false,false,1000001,818387
8,true,true,1000001,440059
8,false,true,1000001,556696
8,true,false,1000001,484650
8,false,false,1000001,577723
16,true,true,1000001,271539
16,false,true,1000001,491042
16,true,false,1000001,366972
16,false,false,1000001,519921
32,true,true,1000001,214125
32,false,true,1000001,488066
32,true,false,1000001,337269
32,false,false,1000001,517462
64,true,true,1000001,208208
64,false,true,1000001,488061
64,true,false,1000001,335550
64,false,false,1000001,517457
128,true,true,1000001,208136
128,false,true,1000001,488061
128,true,false,1000001,335488
128,false,false,1000001,517457
256,true,true,1000001,208136
256,false,true,1000001,488061
256,true,false,1000001,335487
256,false,false,1000001,517457
512,true,true,1000001,208136
512,false,true,1000001,488061
512,true,false,1000001,335487
512,false,false,1000001,517457
1024,true,true,1000001,208136
1024,false,true,1000001,488061
1024,true,false,1000001,335487
1024,false,false,1000001,517457
