Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,657691
1,false,true,1000001,682484
1,true,false,1000001,657723
1,false,false,1000001,682508
2,true,true,1000001,375401
2,false,true,1000001,459321
2,true,false,1000001,375530
2,false,false,1000001,467471
4,true,true,1000001,253704
4,false,true,1000001,409155
4,true,false,1000001,241788
4,false,false,1000001,409239
8,true,true,1000001,183340
8,false,true,1000001,359866
8,true,false,1000001,207838
8,false,false,1000001,368017
16,true,true,1000001,157551
16,false,true,1000001,351694
16,true,false,1000001,182109
16,false,false,1000001,351767
32,true,true,1000001,157275
32,false,true,1000001,351670
32,true,false,1000001,173774
32,false,false,1000001,351744
64,true,true,1000001,157152
64,false,true,1000001,351670
64,true,false,1000001,173635
64,false,false,1000001,351744
