Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,773533
1,false,true,1000001,868391
1,true,false,1000001,777728
1,false,false,1000001,868420
2,true,true,1000001,487593
2,false,true,1000001,836115
2,true,false,1000001,649287
2,false,false,1000001,837181
4,true,true,1000001,385486
4,false,true,1000001,828151
4,true,false,1000001,554266
4,false,false,1000001,828363
8,true,true,1000001,375407
8,false,true,1000001,821514
8,true,false,1000001,544394
8,false,false,1000001,822663
16,true,true,1000001,370819
16,false,true,1000001,820435
16,true,false,1000001,539937
16,false,false,1000001,820651
32,true,true,1000001,370438
32,false,true,1000001,820410
32,true,false,1000001,538670
32,false,false,1000001,820602
64,true,true,1000001,370309
64,false,true,1000001,820410
64,true,false,1000001,538529
64,false,false,1000001,820602
