Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,773423
1,false,true,1000001,801490
1,true,false,1000001,777588
1,false,false,1000001,805660
2,true,true,1000001,426524
2,false,true,1000001,536422
2,true,false,1000001,460722
2,false,false,1000001,550186
4,true,true,1000001,255259
4,false,true,1000001,433057
4,true,false,1000001,319304
4,false,false,1000001,457327
8,true,true,1000001,182008
8,false,true,1000001,410352
8,true,false,1000001,274110
8,false,false,1000001,437677
16,true,true,1000001,158281
16,false,true,1000001,406398
16,true,false,1000001,259702
16,false,false,1000001,432742
32,true,true,1000001,152875
32,false,true,1000001,405539
32,true,false,1000001,257954
32,false,false,1000001,432720
64,true,true,1000001,152366
64,false,true,1000001,405539
64,true,false,1000001,257895
64,false,false,1000001,432720
