Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,776702
4,false,true,1000001,795173
4,true,false,1000001,777782
4,false,false,1000001,795197
8,true,true,1000001,444646
8,false,true,1000001,511904
8,true,false,1000001,447959
8,false,false,1000001,512895
16,true,true,1000001,276987
16,false,true,1000001,452793
16,true,false,1000001,290885
16,false,false,1000001,455312
32,true,true,1000001,249623
32,false,true,1000001,448776
32,true,false,1000001,265915
32,false,false,1000001,453141
64,true,true,1000001,247990
64,false,true,1000001,448771
64,true,false,1000001,264373
64,false,false,1000001,453136
128,true,true,1000001,247918
128,false,true,1000001,448771
128,true,false,1000001,264311
128,false,false,1000001,453136
256,true,true,1000001,247918
256,false,true,1000001,448771
256,true,false,1000001,264310
256,false,false,1000001,453136
512,true,true,1000001,247918
512,false,true,1000001,448771
512,true,false,1000001,264310
512,false,false,1000001,453136
1024,true,true,1000001,247918
1024,false,true,1000001,448771
1024,true,false,1000001,264310
1024,false,false,1000001,453136
