Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,780688
4,false,true,1000001,825256
4,true,false,1000001,790190
4,false,false,1000001,830153
8,true,true,1000001,457758
8,false,true,1000001,588676
8,true,false,1000001,483105
8,false,false,1000001,597454
16,true,true,1000001,317027
16,false,true,1000001,549765
16,true,false,1000001,354816
16,false,false,1000001,560471
32,true,true,1000001,292242
32,false,true,1000001,548291
32,true,false,1000001,334079
32,false,false,1000001,559464
64,true,true,1000001,291123
64,false,true,1000001,548286
64,true,false,1000001,333500
64,false,false,1000001,559459
128,true,true,1000001,291036
128,false,true,1000001,548286
128,true,false,1000001,333432
128,false,false,1000001,559459
256,true,true,1000001,291036
256,false,true,1000001,548286
256,true,false,1000001,333431
256,false,false,1000001,559459
512,true,true,1000001,291036
512,false,true,1000001,548286
512,true,false,1000001,333431
512,false,false,1000001,559459
1024,true,true,1000001,291036
1024,false,true,1000001,548286
1024,true,false,1000001,333431
1024,false,false,1000001,559459
