Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,850131
4,false,true,1000001,880355
4,true,false,1000001,855794
4,false,false,1000001,880371
8,true,true,1000001,548488
8,false,true,1000001,730602
8,true,false,1000001,591107
8,false,false,1000001,730726
16,true,true,1000001,486028
16,false,true,1000001,721695
16,true,false,1000001,535955
16,false,false,1000001,721941
32,true,true,1000001,481078
32,false,true,1000001,721479
32,true,false,1000001,531407
32,false,false,1000001,721768
64,true,true,1000001,480590
64,false,true,1000001,721479
64,true,false,1000001,531026
64,false,false,1000001,721768
128,true,true,1000001,480518
128,false,true,1000001,721479
128,true,false,1000001,530964
128,false,false,1000001,721768
256,true,true,1000001,480518
256,false,true,1000001,721479
256,true,false,1000001,530963
256,false,false,1000001,721768
512,true,true,1000001,480518
512,false,true,1000001,721479
512,true,false,1000001,530963
512,false,false,1000001,721768
1024,true,true,1000001,480518
1024,false,true,1000001,721479
1024,true,false,1000001,530963
1024,false,false,1000001,721768
