Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,796186
4,false,true,1000001,885340
4,true,false,1000001,878981
4,false,false,1000001,885359
8,true,true,1000001,492404
8,false,true,1000001,840667
8,true,false,1000001,587857
8,false,false,1000001,840879
16,true,true,1000001,387766
16,false,true,1000001,832455
16,true,false,1000001,563378
16,false,false,1000001,832916
32,true,true,1000001,382816
32,false,true,1000001,832210
32,true,false,1000001,559037
32,false,false,1000001,832689
64,true,true,1000001,382263
64,false,true,1000001,832210
64,true,false,1000001,558665
64,false,false,1000001,832689
128,true,true,1000001,382192
128,false,true,1000001,832210
128,true,false,1000001,558604
128,false,false,1000001,832689
256,true,true,1000001,382192
256,false,true,1000001,832210
256,true,false,1000001,558603
256,false,false,1000001,832689
512,true,true,1000001,382192
512,false,true,1000001,832210
512,true,false,1000001,558603
512,false,false,1000001,832689
1024,true,true,1000001,382192
1024,false,true,1000001,832210
1024,true,false,1000001,558603
1024,false,false,1000001,832689
