Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,1000003
1,false,true,1000001,1000003
1,true,false,1000001,1000003
1,false,false,1000001,1000003
2,true,true,1000001,558675
2,false,true,1000001,609680
2,true,false,1000001,565905
2,false,false,1000001,610373
4,true,true,1000001,341871
4,false,true,1000001,490537
4,true,false,1000001,354748
4,false,false,1000001,491630
8,true,true,1000001,279744
8,false,true,1000001,482565
8,true,false,1000001,308448
8,false,false,1000001,483636
16,true,true,1000001,277879
16,false,true,1000001,475490
16,true,false,1000001,300002
16,false,false,1000001,476949
32,true,true,1000001,277491
32,false,true,1000001,475429
32,true,false,1000001,299667
32,false,false,1000001,476884
64,true,true,1000001,277389
64,false,true,1000001,475429
64,true,false,1000001,299536
64,false,false,1000001,476884
