Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,3000003
1,false,true,1000001,3000003
1,true,false,1000001,3000003
1,false,false,1000001,3000003
2,true,true,1000001,1500003
2,false,true,1000001,1500003
2,true,false,1000001,1500003
2,false,false,1000001,1500003
4,true,true,1000001,818882
4,false,true,1000001,888836
4,true,false,1000001,823950
4,false,false,1000001,888846
8,true,true,1000001,538609
8,false,true,1000001,814007
8,true,false,1000001,560105
8,false,false,1000001,814959
16,true,true,1000001,482257
16,false,true,1000001,796517
16,true,false,1000001,513511
16,false,false,1000001,797583
32,true,true,1000001,467549
32,false,true,1000001,794103
32,true,false,1000001,501145
32,false,false,1000001,795150
64,true,true,1000001,466606
64,false,true,1000001,794103
64,true,false,1000001,500368
64,false,false,1000001,795149
128,true,true,1000001,466203
128,false,true,1000001,794103
128,true,false,1000001,499992
128,false,false,1000001,795149
256,true,true,1000001,466108
256,false,true,1000001,794103
256,true,false,1000001,499900
256,false,false,1000001,795149
512,true,true,1000001,466084
512,false,true,1000001,794103
512,true,false,1000001,499867
512,false,false,1000001,795149
