Width,Reg Renaming,Mem Renaming,Instructions,Cycles
1,true,true,1000001,663628
1,false,true,1000001,707495
1,true,false,1000001,668243
1,false,false,1000001,708335
2,true,true,1000001,397863
2,false,true,1000001,502545
2,true,false,1000001,409321
2,false,false,1000001,509722
4,true,true,1000001,277891
4,false,true,1000001,456572
4,true,false,1000001,281639
4,false,false,1000001,458817
8,true,true,1000001,215457
8,false,true,1000001,414049
8,true,false,1000001,251030
8,false,false,1000001,421895
16,true,true,1000001,191520
16,false,true,1000001,406137
16,true,false,1000001,227584
16,false,false,1000001,407302
32,true,true,1000001,190844
32,false,true,1000001,406078
32,true,false,1000001,220383
32,false,false,1000001,407186
64,true,true,1000001,190639
64,false,true,1000001,406078
64,true,false,1000001,220207
64,false,false,1000001,407186
